,stem,class,ergative,plural,translation
2961,тIампIур,III,тIампIурли,ла,"агач-кумуз (струнный музыкальный инструмент наподобие балалайки); тIампIур баькьелал // тIампIурликьа кIисāл играть на агачкумузе tIahkI III (-ли, ла) 1) пятно; чакъилас тIанкI чернильное пятно; тIанкI болъолал удалить пятно 2) точка; къона тIанкI две точки; тIанкI гулал поставить точку; цIуддā тIанкIлāс чити ситец в красный горошек ♦ цIодоло тIанкI гулал наложить пятно позора (букв. черное пятно поставить)"
2962,тIига,III,тIигали,а,"зерно (лопающееся при поджаривании), воздушная кукуруза"
2963,тIиган,IV,тIиганли,ла,веревка (или проволока) для сушки белья; тIиганакьа лъицIо йохолал повесить белье на веревку
2964,тIикъи,III,тIикъила,орг.  йа,игр. пика (масть игральных карт); см. мигъ  308
2965,тIимо,III,тIимоли,ва,"зоол. горлинка, куропатка"
2966,тIуруци,IV,тIуруцийа,йаро,"камушек (тляд.); см. гъаьгъаь, кIач"
2967,тIуьж,IV,тIуьжли,йаро,алюминий (хаш.); см. тутиййа tI
2968,уьжуьн,IV,уьжуьнаь,а,вал мельничного колеса
2969,харж,IV,харжли,а,"отходы (остатки) после очистки чего-л. (крапивы, лебеды и т.д.)"
2970,хида,IV,хидали,а,роса; бохакьа хида йекийо трава покрылась росой (о траве)
2971,хой,III,хойли,бо,хой (название узора на бежтинских вязаных сапогах; букв. баран)
